sub,ses,dir,stratum,mean_fc,skew,mean_fc_flag,skew_flag,fc_flag,temporal_flag,fd_exclude,any_internal_run_review,any_attention
sub-1034,ses-1,PA,ses-1/PA,0.070802346,0.10860124,False,False,False,False,False,False,False
sub-1034,ses-2,AP,ses-2/AP,0.054061074,0.19313179,False,False,False,False,False,False,False
sub-1034,ses-2,PA,ses-2/PA,0.042314645,0.19240737,False,False,False,False,False,False,False
sub-1035,ses-1,AP,ses-1/AP,0.21532388,0.13682923,False,False,False,False,False,False,False
sub-1035,ses-1,PA,ses-1/PA,0.15150695,0.026675167,False,False,False,False,False,False,False
sub-1035,ses-2,AP,ses-2/AP,0.12591147,0.20742297,False,False,False,False,False,False,False
sub-1035,ses-2,PA,ses-2/PA,0.09342979,-0.011371206,False,False,False,False,False,False,False
sub-1036,ses-1,AP,ses-1/AP,0.06847071,0.14674917,False,False,False,False,False,False,False
sub-1036,ses-1,PA,ses-1/PA,0.046723418,0.27513006,False,False,False,False,False,False,False
sub-1036,ses-2,AP,ses-2/AP,0.10077108,0.16105233,False,False,False,False,False,False,False
sub-1036,ses-2,PA,ses-2/PA,0.034013014,0.18088251,False,False,False,False,False,False,False
sub-1037,ses-1,AP,ses-1/AP,0.09107185,0.19643512,False,False,False,False,False,False,False
sub-1037,ses-1,PA,ses-1/PA,0.28098953,-0.17477344,False,False,False,False,False,False,False
sub-1037,ses-2,AP,ses-2/AP,0.17761205,0.031620044,False,False,False,False,False,False,False
sub-1037,ses-2,PA,ses-2/PA,0.19065785,0.03435004,False,False,False,False,False,False,False
sub-1038,ses-1,AP,ses-1/AP,0.21368384,0.011431759,False,False,False,False,False,False,False
sub-1038,ses-1,PA,ses-1/PA,0.12761533,0.03217021,False,False,False,False,False,False,False
sub-1038,ses-2,AP,ses-2/AP,0.107108675,0.14111443,False,False,False,False,False,False,False
sub-1038,ses-2,PA,ses-2/PA,0.21341576,0.12777545,False,False,False,False,False,False,False
sub-1039,ses-1,AP,ses-1/AP,0.23170206,-0.2342079,False,False,False,False,False,False,False
sub-1039,ses-1,PA,ses-1/PA,0.113311276,0.09871815,False,False,False,False,False,False,False
sub-1039,ses-2,AP,ses-2/AP,0.2378918,-0.06788837,False,False,False,False,False,False,False
sub-1039,ses-2,PA,ses-2/PA,0.16074711,-0.0013438958,False,False,False,False,False,False,False
sub-1040,ses-1,AP,ses-1/AP,0.09903814,0.11236382,False,False,False,False,False,False,False
sub-1040,ses-1,PA,ses-1/PA,0.11691615,0.1650574,False,False,False,False,False,False,False
sub-1040,ses-2,AP,ses-2/AP,0.13210791,0.11307005,False,False,False,False,False,False,False
sub-1040,ses-2,PA,ses-2/PA,0.14619184,0.24314392,False,False,False,False,False,False,False
sub-1041,ses-1,AP,ses-1/AP,0.08979046,-0.0169899,False,False,False,False,False,False,False
sub-1041,ses-1,PA,ses-1/PA,0.11823651,0.07226176,False,False,False,False,False,False,False
sub-1041,ses-2,AP,ses-2/AP,0.07931753,0.032692358,False,False,False,False,False,False,False
sub-1041,ses-2,PA,ses-2/PA,0.100926004,0.15395749,False,False,False,False,False,False,False
sub-1043,ses-1,AP,ses-1/AP,0.12087264,0.056536485,False,False,False,False,False,False,False
sub-1043,ses-1,PA,ses-1/PA,0.22997797,-0.06789422,False,False,False,False,False,False,False
sub-1043,ses-2,AP,ses-2/AP,0.059496418,0.28139144,False,False,False,False,False,False,False
sub-1043,ses-2,PA,ses-2/PA,0.15479814,0.11739411,False,False,False,False,False,False,False
sub-1044,ses-1,AP,ses-1/AP,0.049138132,0.13509138,False,False,False,False,False,False,False
sub-1044,ses-1,PA,ses-1/PA,0.06425096,0.13513982,False,False,False,False,False,False,False
sub-1044,ses-2,AP,ses-2/AP,0.20021766,-0.036611877,False,False,False,False,False,False,False
sub-1044,ses-2,PA,ses-2/PA,0.028827664,0.24712498,False,False,False,False,True,False,True
sub-1045,ses-1,AP,ses-1/AP,0.15488902,-0.20016909,False,False,False,False,False,False,False
sub-1045,ses-1,PA,ses-1/PA,0.1746062,-0.04351051,False,False,False,False,False,False,False
sub-1045,ses-2,AP,ses-2/AP,0.26459217,-0.1572408,False,False,False,False,False,False,False
sub-1045,ses-2,PA,ses-2/PA,0.29191974,-0.049039867,False,False,False,False,False,False,False
sub-1047,ses-1,AP,ses-1/AP,0.3656933,-0.21889225,True,False,True,True,False,True,True
sub-1047,ses-1,PA,ses-1/PA,0.17284937,-0.027506014,False,False,False,False,False,False,False
sub-1047,ses-2,AP,ses-2/AP,0.119776174,0.14438997,False,False,False,False,False,False,False
sub-1047,ses-2,PA,ses-2/PA,0.17201751,0.0817609,False,False,False,False,False,False,False
sub-1048,ses-1,AP,ses-1/AP,0.11736788,0.14524443,False,False,False,False,False,False,False
sub-1048,ses-1,PA,ses-1/PA,0.2686693,-0.16663541,False,False,False,True,False,True,True
sub-1048,ses-2,AP,ses-2/AP,0.18295331,0.024413101,False,False,False,False,False,False,False
sub-1048,ses-2,PA,ses-2/PA,0.1816114,-0.08986388,False,False,False,False,False,False,False
sub-1050,ses-1,AP,ses-1/AP,0.15439084,0.12700388,False,False,False,False,False,False,False
sub-1050,ses-1,PA,ses-1/PA,0.12867112,0.11409155,False,False,False,False,False,False,False
sub-1050,ses-2,AP,ses-2/AP,0.113709144,0.27030626,False,False,False,False,False,False,False
